service_id,farm_size_acres,crop_type,chemical_used,water_saved_liters,cost_inr
1,3.199762604346613,Cotton,Urea Spray,771.548063564002,4288.113371604942
2,34.91858703037939,Rice,Fungicide Y,925.3482237720191,2884.5624317049214
3,41.12644856333553,Soybean,Fungicide Y,1426.6880633136498,9640.1657622327
4,44.48573225498349,Wheat,Fungicide Y,706.4233715721206,5108.3862099425505
5,27.907280867497427,Soybean,Urea Spray,555.9209556634347,6133.529206510866
6,47.37896751781341,Rice,Pesticide X,1697.7197516821152,5078.512830712598
7,1.276627077428575,Wheat,Pesticide X,1573.7693665278753,3276.2716908747775
8,7.566897786042011,Soybean,Fungicide Y,964.4024721994753,8293.713518268882
9,15.365133055814843,Wheat,Urea Spray,587.7370666618538,1256.2410328913904
10,39.6621976557576,Cotton,Fungicide Y,1229.4063662721164,7212.190870825244
11,44.38406786655899,Cotton,Pesticide X,914.2794348883384,6348.455295394172
12,31.28858811399781,Wheat,Fungicide Y,1096.6688259704715,2298.5258561987425
13,19.77858087604779,Soybean,Fungicide Y,910.9540195634042,2493.145398706205
14,33.626434575717134,Soybean,Fungicide Y,762.9014298888865,6933.030291107824
15,9.864069229193941,Soybean,Pesticide X,1080.4846802545833,3809.2491249694435
16,23.43582855644917,Cotton,Urea Spray,1947.341185216723,3391.6427034911126
17,25.869660817841208,Rice,Fungicide Y,899.3418005149506,1532.4048598355137
18,6.138689829549516,Rice,Pesticide X,1003.9499660704768,7898.347803905058
19,2.659760350858708,Wheat,Fungicide Y,993.863050286946,8944.04741770581
20,37.755169370157155,Soybean,Urea Spray,1220.4332296858104,8378.599165531603
21,27.20061160470572,Wheat,Fungicide Y,1765.2583081891753,5194.307075500333
22,17.27969639201884,Rice,Urea Spray,1103.1838873244674,5805.607677225063
23,22.424202951396357,Rice,Pesticide X,1709.2219460495628,3180.485745862195
24,47.927467248921516,Soybean,Urea Spray,672.5181641488057,2555.6926547690755
25,19.86077482378358,Wheat,Urea Spray,1842.3608070231696,8407.010574022102
26,6.070482106034881,Soybean,Pesticide X,777.9561252859019,8185.097444903472
27,23.71650679860384,Rice,Urea Spray,558.8022486237912,7996.238455932028
28,32.754370300425364,Rice,Urea Spray,737.531720565595,5170.233757578713
29,1.5935426888946844,Soybean,Pesticide X,786.1246869359779,8780.569847601033
30,17.284687440743845,Wheat,Urea Spray,1262.7561914200387,9336.088624157332
31,20.28220658639204,Cotton,Urea Spray,1174.9074391295835,3955.0991018810028
32,23.72202744243334,Soybean,Fungicide Y,1573.811625397563,3022.2504260232026
33,15.782525490048311,Rice,Urea Spray,576.4266286904952,5178.367276983849
34,33.67919066482779,Cotton,Urea Spray,1246.5593770641267,2613.9372100713326
35,47.2907519625648,Soybean,Urea Spray,998.7068403850712,8956.025966259072
36,45.78591062594605,Cotton,Pesticide X,1446.0594981365127,4041.9145006999247
37,33.55527732564182,Soybean,Urea Spray,565.5495861875277,6185.546078865191
38,25.837319241068254,Rice,Pesticide X,552.402213377239,6352.475463164125
39,41.46494119564131,Soybean,Pesticide X,1140.8774020944447,5634.890923113067
40,41.960922205069615,Cotton,Urea Spray,1717.009218802268,2408.7313848078848
41,41.64907958816505,Wheat,Urea Spray,1506.641096202912,9919.005760840342
42,8.734450955600586,Rice,Urea Spray,525.0591378673489,2553.429063170167
