date,temp_avg,humidity_avg,rainfall_mm,wind_speed_kmh,severe_alert
2025-03-30,30.912705843469343,46.72801575945837,40.14165221251037,20.01517520564714,0
2025-03-31,30.33550399051977,67.26866334415881,18.437239215833003,15.115872009059633,0
2025-04-01,19.10735767477464,58.775441950382394,32.92975905942356,23.053859558449187,1
2025-04-02,24.99118020309579,47.3147424370663,24.407973913861085,16.52333348253734,0
2025-04-03,34.20828374252771,60.621544871678836,11.394654885496337,13.933354489228309,0
2025-04-04,21.870658891629834,40.07774378375263,38.063214061249376,18.317012189859895,1
2025-04-05,34.40974181274129,68.3746535909111,13.137635390620655,21.67046884361995,0
2025-04-06,26.663234228674717,36.93976327103104,17.02238765208296,10.64997100345704,0
2025-04-07,24.23222835331555,73.85883150859368,9.500920245773054,7.1505408756851585,0
2025-04-08,28.155149300524045,40.66276070313043,35.963565189435215,13.660362366386408,0
2025-04-09,31.316783423553872,89.88954919901231,22.93620269152897,9.290397456234572,0
2025-04-10,22.884163097014984,79.42035568562471,22.168662741946658,13.590823507904181,0
2025-04-11,15.65908350229276,50.630418231583334,30.22814334450063,24.820963455979,0
2025-04-12,29.17612595940823,55.57228633735874,7.863172362366866,16.48244187548044,0
2025-04-13,34.1233356899477,45.5514612664613,44.90769448128797,18.872004456934874,0
2025-04-14,27.49973300552676,76.02687367079994,23.255447811796547,18.558568449228368,0
2025-04-15,18.768289570909467,52.84361819746644,18.32634293410149,21.414016725721268,0
2025-04-16,19.964850643622206,75.31113058917214,6.334530445259623,23.882571980307592,0
2025-04-17,33.19501437262748,31.104093280810833,8.397710218370714,18.176361964161067,0
2025-04-18,15.271241912089412,38.13725757027574,46.018015695693,14.521892895064163,0
2025-04-19,25.974933309268348,51.898460082154116,22.830851669986114,11.356618928358229,0
2025-04-20,18.173552903879116,36.534512003675566,36.10919596796304,12.205486002477342,0
2025-04-21,20.655288704341586,66.06767953777444,4.0258176329266595,11.689612162481133,0
2025-04-22,21.139632989865202,33.0499259120474,32.17322720632419,11.489309825477799,0
2025-04-23,19.38565495476655,81.58577967536058,46.07595961687106,18.892500087641885,0
2025-04-24,30.847041254123116,75.67847992535894,14.998172544074556,16.754180599037284,0
