image_id,crop,disease_label,severity,solution
img_0.jpg,Tomato,Yellow Rust,Low,Apply recommended fungicide and remove infected leaves.
img_1.jpg,Wheat,Early Blight,High,Apply recommended fungicide and remove infected leaves.
img_2.jpg,Tomato,Early Blight,Medium,Apply recommended fungicide and remove infected leaves.
img_3.jpg,Corn,Early Blight,High,Apply recommended fungicide and remove infected leaves.
img_4.jpg,Corn,Healthy,Medium,Apply recommended fungicide and remove infected leaves.
img_5.jpg,Wheat,Late Blight,High,Apply recommended fungicide and remove infected leaves.
img_6.jpg,Apple,Early Blight,Medium,Apply recommended fungicide and remove infected leaves.
img_7.jpg,Potato,Leaf Spot,High,Apply recommended fungicide and remove infected leaves.
img_8.jpg,Apple,Healthy,High,Apply recommended fungicide and remove infected leaves.
img_9.jpg,Wheat,Late Blight,High,Apply recommended fungicide and remove infected leaves.
img_10.jpg,Tomato,Leaf Spot,Low,Apply recommended fungicide and remove infected leaves.
img_11.jpg,Apple,Late Blight,High,Apply recommended fungicide and remove infected leaves.
img_12.jpg,Corn,Late Blight,Low,Apply recommended fungicide and remove infected leaves.
img_13.jpg,Wheat,Leaf Spot,Low,Apply recommended fungicide and remove infected leaves.
img_14.jpg,Apple,Yellow Rust,High,Apply recommended fungicide and remove infected leaves.
img_15.jpg,Apple,Late Blight,Low,Apply recommended fungicide and remove infected leaves.
img_16.jpg,Tomato,Yellow Rust,Low,Apply recommended fungicide and remove infected leaves.
img_17.jpg,Tomato,Late Blight,Low,Apply recommended fungicide and remove infected leaves.
img_18.jpg,Tomato,Leaf Spot,Medium,Apply recommended fungicide and remove infected leaves.
img_19.jpg,Potato,Late Blight,High,Apply recommended fungicide and remove infected leaves.
img_20.jpg,Wheat,Early Blight,Low,Apply recommended fungicide and remove infected leaves.
img_21.jpg,Wheat,Early Blight,High,Apply recommended fungicide and remove infected leaves.
img_22.jpg,Corn,Late Blight,Low,Apply recommended fungicide and remove infected leaves.
img_23.jpg,Corn,Leaf Spot,High,Apply recommended fungicide and remove infected leaves.
img_24.jpg,Wheat,Leaf Spot,Low,Apply recommended fungicide and remove infected leaves.
img_25.jpg,Apple,Healthy,Medium,Apply recommended fungicide and remove infected leaves.
img_26.jpg,Wheat,Leaf Spot,Medium,Apply recommended fungicide and remove infected leaves.
img_27.jpg,Potato,Yellow Rust,Medium,Apply recommended fungicide and remove infected leaves.
img_28.jpg,Corn,Late Blight,Low,Apply recommended fungicide and remove infected leaves.
img_29.jpg,Corn,Early Blight,High,Apply recommended fungicide and remove infected leaves.
img_30.jpg,Corn,Leaf Spot,Low,Apply recommended fungicide and remove infected leaves.
img_31.jpg,Wheat,Early Blight,Medium,Apply recommended fungicide and remove infected leaves.
img_32.jpg,Corn,Healthy,Low,Apply recommended fungicide and remove infected leaves.
img_33.jpg,Corn,Late Blight,High,Apply recommended fungicide and remove infected leaves.
img_34.jpg,Wheat,Leaf Spot,Medium,Apply recommended fungicide and remove infected leaves.
img_35.jpg,Apple,Early Blight,Low,Apply recommended fungicide and remove infected leaves.
img_36.jpg,Corn,Leaf Spot,High,Apply recommended fungicide and remove infected leaves.
img_37.jpg,Corn,Healthy,Medium,Apply recommended fungicide and remove infected leaves.
img_38.jpg,Corn,Early Blight,High,Apply recommended fungicide and remove infected leaves.
img_39.jpg,Potato,Early Blight,High,Apply recommended fungicide and remove infected leaves.
img_40.jpg,Wheat,Late Blight,Medium,Apply recommended fungicide and remove infected leaves.
img_41.jpg,Corn,Late Blight,Low,Apply recommended fungicide and remove infected leaves.
img_42.jpg,Potato,Early Blight,Low,Apply recommended fungicide and remove infected leaves.
img_43.jpg,Apple,Late Blight,Low,Apply recommended fungicide and remove infected leaves.
img_44.jpg,Apple,Early Blight,Low,Apply recommended fungicide and remove infected leaves.
img_45.jpg,Potato,Yellow Rust,High,Apply recommended fungicide and remove infected leaves.
img_46.jpg,Apple,Leaf Spot,Low,Apply recommended fungicide and remove infected leaves.
img_47.jpg,Tomato,Yellow Rust,Low,Apply recommended fungicide and remove infected leaves.
img_48.jpg,Apple,Yellow Rust,High,Apply recommended fungicide and remove infected leaves.
img_49.jpg,Tomato,Leaf Spot,High,Apply recommended fungicide and remove infected leaves.
img_50.jpg,Potato,Early Blight,Medium,Apply recommended fungicide and remove infected leaves.
img_51.jpg,Tomato,Early Blight,High,Apply recommended fungicide and remove infected leaves.
img_52.jpg,Apple,Late Blight,Medium,Apply recommended fungicide and remove infected leaves.
img_53.jpg,Corn,Healthy,Medium,Apply recommended fungicide and remove infected leaves.
img_54.jpg,Tomato,Early Blight,Low,Apply recommended fungicide and remove infected leaves.
img_55.jpg,Apple,Leaf Spot,Low,Apply recommended fungicide and remove infected leaves.
img_56.jpg,Corn,Healthy,Low,Apply recommended fungicide and remove infected leaves.
img_57.jpg,Potato,Leaf Spot,High,Apply recommended fungicide and remove infected leaves.
img_58.jpg,Potato,Leaf Spot,High,Apply recommended fungicide and remove infected leaves.
img_59.jpg,Wheat,Leaf Spot,Low,Apply recommended fungicide and remove infected leaves.
img_60.jpg,Potato,Healthy,Low,Apply recommended fungicide and remove infected leaves.
